,x,y,theta,speed
9588,290.035,1709.5,0.0,50
9589,290.194,1709.09,0.0,50
9590,290.512,1708.27,0.0,50
9591,290.672,1707.85,0.0,50
9592,290.83099999999996,1707.44,0.0,50
9593,291.151,1706.62,0.0,50
9594,291.31,1706.21,0.0,50
9595,291.471,1705.79,0.0,50
9596,291.631,1705.38,0.0,50
9597,291.952,1704.56,0.0,50
9598,292.112,1704.15,0.0,50
9599,292.27299999999997,1703.73,0.0,50
9600,292.594,1702.91,0.0,30
9601,292.755,1702.5,0.0,30
9602,292.91700000000003,1702.09,0.0,30
9603,293.24,1701.26,0.0,30
9604,293.4,1700.85,0.0,30
9605,293.562,1700.44,0.0,30
9606,293.885,1699.62,0.0,30
9607,294.047,1699.2,0.0,30
9608,294.20799999999997,1698.79,0.0,30
9609,294.531,1697.97,0.0,30
9610,294.693,1697.56,0.0,30
9611,295.015,1696.74,0.0,30
9612,295.177,1696.33,0.0,30
9613,295.339,1695.91,0.0,30
9614,295.661,1695.09,0.0,30
9615,295.822,1694.68,0.0,30
9616,295.98400000000004,1694.27,0.0,30
9617,296.14599999999996,1693.86,0.0,30
9618,296.469,1693.04,0.0,30
9619,296.63,1692.62,0.0,30
9620,296.791,1692.21,0.0,30
9621,297.115,1691.39,0.0,30
9622,297.276,1690.98,0.0,30
9623,297.437,1690.57,0.0,30
9624,297.76099999999997,1689.75,0.0,30
9625,297.922,1689.34,0.0,30
9626,298.084,1688.92,0.0,30
9627,298.244,1688.51,0.0,30
9628,298.567,1687.69,0.0,30
9629,298.728,1687.28,0.0,30
9630,298.89,1686.87,0.0,30
9631,299.212,1686.05,0.0,30
9632,299.374,1685.63,0.0,30
9633,299.535,1685.22,0.0,30
9634,299.69599999999997,1684.81,0.0,30
9635,300.019,1683.99,0.0,30
9636,300.18,1683.58,0.0,30
9637,300.341,1683.17,0.0,30
9638,300.664,1682.34,0.0,30
9639,300.825,1681.93,0.0,30
9640,301.14799999999997,1681.11,0.0,30
9641,301.309,1680.69,0.0,30
9642,301.631,1679.87,0.0,30
9643,301.79200000000003,1679.46,0.0,30
9644,301.953,1679.05,0.0,30
9645,302.11400000000003,1678.64,0.0,30
9646,302.435,1677.81,0.0,30
9647,302.597,1677.4,0.0,30
9648,302.757,1676.99,0.0,30
9649,303.08,1676.17,0.0,30
9650,303.241,1675.76,0.0,30
9651,303.402,1675.35,0.0,30
9652,303.726,1674.52,0.0,30
9653,303.889,1674.11,0.0,30
9654,304.052,1673.7,0.0,30
9655,304.214,1673.29,0.0,30
9656,304.54200000000003,1672.47,0.0,30
9657,304.705,1672.06,0.0,30
9658,304.869,1671.65,0.0,30
9659,305.034,1671.24,0.0,30
9660,305.36400000000003,1670.42,0.0,30
9661,305.53,1670.01,0.0,30
9662,305.69599999999997,1669.6,0.0,30
9663,306.029,1668.78,0.0,30
9664,306.19599999999997,1668.37,0.0,30
9665,306.363,1667.96,0.0,30
9666,306.532,1667.55,0.0,30
9667,306.868,1666.74,0.0,30
9668,307.038,1666.33,0.0,30
9669,307.207,1665.92,0.0,30
9670,307.377,1665.51,0.0,30
9671,307.716,1664.7,0.0,30
9672,308.059,1663.88,0.0,30
9673,308.231,1663.47,0.0,30
9674,308.403,1663.07,0.0,30
9675,308.575,1662.66,0.0,30
9676,308.921,1661.85,0.0,30
9677,309.094,1661.44,0.0,30
9678,309.268,1661.04,0.0,30
9679,309.617,1660.22,0.0,30
9680,309.79200000000003,1659.82,0.0,30
9681,309.967,1659.41,0.0,30
9682,310.319,1658.6,0.0,30
9683,310.495,1658.2,0.0,30
9684,310.671,1657.79,0.0,30
9685,310.849,1657.39,0.0,30
9686,311.204,1656.58,0.0,30
9687,311.382,1656.18,0.0,30
9688,311.561,1655.77,0.0,30
9689,311.91900000000004,1654.96,0.0,30
9690,312.098,1654.56,0.0,30
9691,312.279,1654.16,0.0,30
9692,312.45799999999997,1653.76,0.0,30
9693,312.819,1652.95,0.0,30
9694,312.999,1652.55,0.0,30
9695,313.18,1652.14,0.0,30
9696,313.54200000000003,1651.34,0.0,30
9697,313.724,1650.94,0.0,30
